variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
group_1274	1.33E-02	5.02E-01	5.06E-01	-1.01E-01	1.52E-01	3.85E-02	bad-chisq
group_1244	1.33E-02	3.14E-01	3.42E-01	1.44E-01	1.52E-01	5.50E-02	bad-chisq
group_1237	1.33E-02	5.02E-01	5.06E-01	-1.01E-01	1.52E-01	3.85E-02	bad-chisq
group_1224	1.33E-02	3.14E-01	3.24E-01	1.50E-01	1.51E-01	5.72E-02	bad-chisq
group_1200	1.33E-02	5.02E-01	5.59E-01	-8.92E-02	1.52E-01	3.39E-02	bad-chisq
group_1198	1.33E-02	3.14E-01	3.24E-01	1.50E-01	1.51E-01	5.72E-02	bad-chisq
group_1181	1.33E-02	5.02E-01	4.87E-01	-1.05E-01	1.51E-01	4.03E-02	bad-chisq
group_1178	1.33E-02	5.02E-01	4.87E-01	-1.05E-01	1.51E-01	4.03E-02	bad-chisq
group_1039	1.33E-02	5.02E-01	5.20E-01	-9.78E-02	1.52E-01	3.73E-02	bad-chisq
group_1020	1.33E-02	5.02E-01	5.15E-01	-9.88E-02	1.51E-01	3.78E-02	bad-chisq
group_1004	1.33E-02	5.02E-01	5.06E-01	-1.01E-01	1.52E-01	3.85E-02	bad-chisq
group_973	1.33E-02	5.02E-01	5.71E-01	-8.80E-02	1.55E-01	3.28E-02	bad-chisq
group_927	1.33E-02	5.02E-01	4.87E-01	-1.05E-01	1.51E-01	4.03E-02	bad-chisq
group_923	1.33E-02	5.02E-01	5.06E-01	-1.01E-01	1.52E-01	3.85E-02	bad-chisq
group_903	1.33E-02	5.02E-01	5.12E-01	-9.95E-02	1.51E-01	3.80E-02	bad-chisq
group_900	1.33E-02	5.02E-01	5.03E-01	-1.02E-01	1.52E-01	3.88E-02	bad-chisq
group_893	1.33E-02	3.14E-01	3.09E-01	1.55E-01	1.52E-01	5.89E-02	bad-chisq
group_834	1.33E-02	5.02E-01	5.73E-01	-8.63E-02	1.53E-01	3.27E-02	bad-chisq
group_799	1.33E-02	5.02E-01	5.71E-01	-8.80E-02	1.55E-01	3.28E-02	bad-chisq
group_798	1.33E-02	3.14E-01	3.42E-01	1.44E-01	1.52E-01	5.50E-02	bad-chisq
group_785	1.33E-02	5.02E-01	5.03E-01	-1.02E-01	1.52E-01	3.88E-02	bad-chisq
group_762	1.33E-02	3.14E-01	3.42E-01	1.44E-01	1.52E-01	5.50E-02	bad-chisq
group_748	1.33E-02	3.14E-01	3.42E-01	1.44E-01	1.52E-01	5.50E-02	bad-chisq
group_709	1.33E-02	5.02E-01	5.73E-01	-8.63E-02	1.53E-01	3.27E-02	bad-chisq
group_699	1.33E-02	5.02E-01	5.71E-01	-8.80E-02	1.55E-01	3.28E-02	bad-chisq
group_696	1.33E-02	3.14E-01	3.36E-01	1.46E-01	1.51E-01	5.57E-02	bad-chisq
group_501	1.33E-02	5.02E-01	4.71E-01	-1.10E-01	1.52E-01	4.18E-02	bad-chisq
group_451	1.33E-02	3.14E-01	3.42E-01	1.44E-01	1.52E-01	5.50E-02	bad-chisq
group_406	1.33E-02	5.02E-01	5.71E-01	-8.80E-02	1.55E-01	3.28E-02	bad-chisq
group_402	1.33E-02	5.02E-01	5.71E-01	-8.79E-02	1.55E-01	3.28E-02	bad-chisq
group_331	1.33E-02	5.02E-01	5.73E-01	-8.63E-02	1.53E-01	3.27E-02	bad-chisq
group_317	1.33E-02	3.14E-01	3.36E-01	1.46E-01	1.51E-01	5.58E-02	bad-chisq
group_315	1.33E-02	5.02E-01	5.05E-01	-1.01E-01	1.52E-01	3.87E-02	bad-chisq
group_226	1.33E-02	3.14E-01	3.42E-01	1.44E-01	1.52E-01	5.50E-02	bad-chisq
group_205	1.33E-02	5.02E-01	4.87E-01	-1.05E-01	1.51E-01	4.03E-02	bad-chisq
group_202	1.33E-02	5.02E-01	5.09E-01	-1.00E-01	1.52E-01	3.82E-02	bad-chisq
group_191	1.33E-02	5.02E-01	5.73E-01	-8.63E-02	1.53E-01	3.27E-02	bad-chisq
group_163	1.33E-02	5.02E-01	5.20E-01	-9.78E-02	1.52E-01	3.73E-02	bad-chisq
group_148	1.33E-02	3.14E-01	3.36E-01	1.46E-01	1.51E-01	5.58E-02	bad-chisq
group_85	1.33E-02	3.14E-01	3.09E-01	1.55E-01	1.52E-01	5.89E-02	bad-chisq
group_46	1.33E-02	3.14E-01	2.75E-01	1.71E-01	1.56E-01	6.32E-02	bad-chisq
group_41	1.33E-02	3.14E-01	3.24E-01	1.50E-01	1.51E-01	5.72E-02	bad-chisq
group_17	1.33E-02	5.02E-01	4.87E-01	-1.05E-01	1.51E-01	4.03E-02	bad-chisq
